stochastic_year,annual_ground_loss,annual_insured_loss
3131,0.0,0.0
3132,0.0,0.0
3133,0.0,0.0
3134,764708111.4719223,739097555.2598807
3135,13194763.791326303,7045839.977780753
3136,41597.49894143648,13850.66071646317
3137,0.0,0.0
3138,8540.131517752945,0.0
3139,2253720.082660445,1112602.8063425263
3140,1426.2292931425507,0.0
3141,17417473.564060975,12755521.625516169
3142,562.4348740402363,0.0
3143,0.057296928784472456,0.0
3144,0.0,0.0
3145,3063.901694538629,0.0
3146,54690.12107984871,10743.47451128856
3147,0.007296998571053876,0.0
3148,70127795.84457129,55702477.78142678
3149,10577821.221289828,3408197.7219378394
3150,0.029454888857096354,0.0
3151,1934.9106477273613,0.0
3152,159715.50629399135,23409.592543259318
3153,7502145.791062215,4719232.62176723
3154,1.4556409196101768e-05,0.0
3155,11050364.659490779,6810652.340808871
3156,0.0,0.0
3157,0.07886698322908617,0.0
3158,33164463.295711342,24121412.55297435
3159,0.0069891045896766126,0.0
3160,157607.69849007306,742.1341492919173
3161,0.0,0.0
3162,13672953.504616847,7691367.315077545
3163,178515383.48729193,156503761.91257927
3164,0.0,0.0
3165,0.010191452884680855,0.0
3166,5.894576044945427e-11,0.0
3167,0.0,0.0
3168,0.0,0.0
3169,0.0,0.0
3170,0.0,0.0
3171,0.0,0.0
3172,19889348.877840202,14464245.513405273
3173,0.0,0.0
3174,30.837941892449884,0.0
3175,0.0,0.0
3176,16744236.107296651,8215991.278572936
3177,0.0,0.0
3178,393884681.67786294,373344788.5889234
3179,0.0,0.0
3180,547.1229753889653,0.0
3181,1894.7627103161315,0.0
3182,0.0,0.0
3183,144524.12921768066,0.0
3184,897821407.3138963,871533999.5998435
3185,10020.242699231974,0.0
3186,9120290.58477145,5773397.671077873
3187,0.0,0.0
3188,0.6066763346337158,0.0
3189,0.0,0.0
3190,0.0,0.0
3191,6688030.899561713,2470418.123217461
3192,68269.30831260337,7675.77146657171
3193,357335.1713322823,0.0
3194,247.799476970786,0.0
3195,0.0,0.0
3196,444815915.2242539,424039820.5191583
3197,0.0,0.0
3198,5153.440235519126,0.0
3199,20.706986014510377,0.0
3200,84288.26451962383,0.0
3201,10117830.621371998,2989625.906077749
3202,0.0,0.0
3203,29.323814346000066,0.0
3204,4136.044829780513,0.0
3205,7.530844563559365,0.0
3206,0.8151925656082134,0.0
3207,0.0,0.0
3208,445.74022357253835,0.0
3209,1668255.710502634,246553.95486911127
3210,836793.2112322733,118967.18345958178
3211,4728.998227108075,0.0
3212,553423859.4052961,530411410.49846435
3213,0.0,0.0
3214,33869202.064152546,27096832.7220031
3215,4065974.5937922793,268820.2470078738
3216,0.5275914770668046,0.0
3217,7821.482225345743,0.0
3218,448423451.7429064,419310030.40247387
3219,441731382.36061436,420596081.5978113
3220,30221029.23778088,21212264.622926317
3221,0.0,0.0
3222,41167.2655572032,8178.502730362957
3223,789139089.4014051,764253692.1775576
3224,1.8121289423602804,0.0
3225,96566.65821235225,18336.268920881128
3226,1225060.9967007285,4259.3820117027135
3227,969914.04831262,350836.4482731511
3228,31517930.18175473,21824753.576423608
3229,31386837.462057415,23269303.347199906
3230,1.9493386043490877,0.0
3231,0.0,0.0
3232,1332782.7165299733,321861.5428174696
3233,242276231.41250792,214340737.6888315
3234,12154.12334853846,0.0
3235,0.0,0.0
3236,0.00013152777483534017,0.0
3237,172472.3113367154,3279.9795652978482
3238,107495190.40123822,91470242.59047748
3239,98875551.94105741,84712308.99109502
3240,1441131.1295551183,71521.63667010546
3241,0.2986752796261597,0.0
3242,10827557.540135927,7429111.610957473
3243,7.300906907467696,0.0
3244,0.0,0.0
3245,45.46446043445689,0.0
3246,1.395880893398327e-05,0.0
3247,8664.75769456485,0.0
3248,0.0,0.0
3249,0.14949657577398218,0.0
3250,4033501.2244512844,2342523.23219904
3251,872.1833958637884,0.0
3252,0.0,0.0
3253,174605466.13722387,160419992.4222392
3254,189239.25564462863,35702.68722711066
3255,59893952.14212638,47689635.41687732
3256,2417343646.4636207,2376346356.088686
3257,8.251043530447424,0.0
3258,771557.6770198797,174692.71735441175
3259,0.0004385503187874769,0.0
3260,47980959.83039772,40025352.62593475
3261,290610349.7287167,271758741.27852947
3262,89351.3891928825,0.0
3263,355.87291913606487,0.0
3264,0.015421232059142882,0.0
3265,1.1091058116590804,0.0
3266,0.0,0.0
3267,0.0378339038729236,0.0
3268,0.0,0.0
3269,8174.222563030736,0.0
3270,8290.035067653336,0.0
3271,141352.5521163473,4113.423832789173
3272,0.0,0.0
3273,5.958904426851202e-05,0.0
3274,2415022.6767697823,1801.0880489423948
3275,0.0,0.0
3276,1.8677016549136534,0.0
3277,8201396.370277671,5286281.920087391
3278,3505573.4675011276,131608.7113053254
3279,0.0,0.0
3280,656107.5958992034,257568.6102896422
3281,522086868.1855634,500887920.109505
3282,2.512269820576483,0.0
3283,1125056565.563368,1096224124.8520901
3284,0.0,0.0
3285,153929356.7738498,133781165.43259008
3286,0.0,0.0
3287,0.0,0.0
3288,537255.7681766914,0.0
3289,20020803.625751313,14413630.232418166
3290,530702.7038865862,118925.1229165148
3291,23.4136345325962,0.0
3292,0.0,0.0
3293,696821846.2907804,673233974.0887905
3294,43564029.87756892,35410388.792249456
3295,2767116095.920464,2710450677.7912188
3296,0.0,0.0
3297,114389.7705743207,0.0
3298,0.0,0.0
3299,0.0,0.0
3300,47075071.926752895,34374326.62932281
3301,178957023.39457607,162187904.408964
3302,40283836.08112125,31468600.059208967
3303,904167.9937177144,331643.90973056864
3304,230.5007384561232,0.0
3305,178143.64286578534,47490.44749823591
3306,0.0,0.0
3307,724793.0991936463,290843.87972546247
3308,4.2170038953088233e-11,0.0
3309,2203423.906943908,156271.4215801124
3310,2082.6751295561357,0.0
3311,0.0,0.0
3312,1056.2885322419904,0.0
