exceedance_probability,return_period_years,insured_loss_threshold
0.0151,66.2251655629139,2385914970.7572336
0.0152,65.78947368421052,2385773201.9403057
0.0153,65.35947712418302,2376346356.088686
0.0154,64.93506493506493,2372957682.2922153
0.0155,64.51612903225806,2363120977.3171625
0.0156,64.1025641025641,2355868466.0311346
0.0157,63.69426751592357,2341504251.854793
0.0158,63.291139240506325,2335225517.0206594
0.0159,62.893081761006286,2329266997.016085
0.016,62.5,2321037278.1256557
0.0161,62.11180124223603,2304844841.320567
0.0162,61.7283950617284,2296910634.028963
0.0163,61.34969325153375,2296039678.3778386
0.0164,60.975609756097555,2266736154.0419846
0.0165,60.6060606060606,2257761440.900205
0.0166,60.24096385542168,2250744545.5474715
0.0167,59.880239520958085,2247139694.556648
0.0168,59.523809523809526,2244308397.334832
0.0169,59.1715976331361,2237299331.288641
0.017,58.8235294117647,2230386080.485894
0.0171,58.47953216374269,2205711460.0171213
0.0172,58.13953488372093,2195974176.973847
0.0173,57.80346820809249,2180555446.1945486
0.0174,57.4712643678161,2177741494.0361238
0.0175,57.14285714285714,2166197934.7007732
0.0176,56.81818181818181,2159425832.296724
0.0177,56.497175141242934,2150166126.9427085
0.0178,56.17977528089888,2131741223.6959927
0.0179,55.865921787709496,2126588213.399498
0.018,55.55555555555556,2123593485.7961054
0.0181,55.24861878453038,2094344127.107825
0.0182,54.94505494505494,2087569690.6271331
0.0183,54.6448087431694,2086095558.502689
0.0184,54.34782608695652,2085869471.8135738
0.0185,54.054054054054056,2079801083.2572799
0.0186,53.763440860215056,2068679082.8663433
0.0187,53.475935828877,2065755078.7470312
0.0188,53.191489361702125,2065217417.3904064
0.0189,52.91005291005291,2051281305.608162
0.019,52.631578947368425,2041931618.6823523
0.0191,52.35602094240838,2036015803.8740382
0.0192,52.083333333333336,2027752234.4760854
0.0193,51.81347150259067,2012089915.0482345
0.0194,51.54639175257732,2011897038.5993617
0.0195,51.282051282051285,2009433075.2014022
0.0196,51.02040816326531,2000349781.4333858
0.0197,50.76142131979696,1995370688.0810707
0.0198,50.5050505050505,1982071871.8292434
0.0199,50.25125628140703,1969049622.6663923
0.02,50.0,1958618739.2117772
0.0201,49.75124378109453,1940385387.3367198
0.0202,49.504950495049506,1933910388.9054086
0.0203,49.26108374384237,1892967138.4257948
0.0204,49.01960784313725,1889461508.3523688
0.0205,48.78048780487805,1884710477.1573317
0.0206,48.543689320388346,1877556147.1090407
0.0207,48.309178743961354,1866298728.3346872
0.0208,48.07692307692308,1859217552.5491123
0.0209,47.84688995215311,1857903420.495815
0.021,47.61904761904761,1856481774.7531164
0.0211,47.39336492890995,1835951607.4760966
0.0212,47.16981132075472,1835755256.7134917
0.0213,46.948356807511736,1833412052.0478928
0.0214,46.728971962616825,1817693065.1841934
0.0215,46.51162790697675,1811869582.5605073
0.0216,46.29629629629629,1810724242.9486005
