stochastic_year,annual_ground_loss,annual_insured_loss
1015,0.39298581438128216,0.0
1016,0.0,0.0
1017,40985951.51477869,29757826.77214616
1018,0.009993183810714491,0.0
1019,16743725.168923004,11178678.292251548
1020,1.1811464158136478,0.0
1021,0.0,0.0
1022,6.932510183404917,0.0
1023,0.0,0.0
1024,0.0,0.0
1025,0.0,0.0
1026,0.0,0.0
1027,0.0,0.0
1028,0.0,0.0
1029,0.0,0.0
1030,0.0,0.0
1031,0.0,0.0
1032,0.0,0.0
1033,0.0,0.0
1034,0.0,0.0
1035,0.0,0.0
1036,0.0,0.0
1037,0.0,0.0
1038,0.08319242568367448,0.0
1039,0.0015231313806628602,0.0
1040,1111.226901739191,0.0
1041,0.0,0.0
1042,0.45177409658874035,0.0
1043,0.0,0.0
1044,0.0,0.0
1045,0.0,0.0
1046,491453735.99974734,470427567.8504486
1047,0.0,0.0
1048,0.0,0.0
1049,451003338.72612697,419677453.6552893
1050,54381.5009720429,7261.103268249547
1051,0.0005518308006495356,0.0
1052,3899.2983731509353,0.0
1053,0.00018871867620923343,0.0
1054,41262.870784439314,0.0
1055,0.0,0.0
1056,0.0,0.0
1057,0.0,0.0
1058,9016.663373431351,0.0
1059,3846938224.0241947,3797171179.0609546
1060,4507483.201140835,2272078.556458351
1061,0.0,0.0
1062,6.924644463562736e-05,0.0
1063,1675.4977688306633,0.0
1064,4152785.0166977355,1206132.4831970923
1065,0.01285085595888676,0.0
1066,0.005141982108050293,0.0
1067,0.0,0.0
1068,0.0,0.0
1069,0.0,0.0
1070,37039.921560138995,867.2144932914534
1071,0.0,0.0
1072,0.0,0.0
1073,0.0,0.0
1074,0.0,0.0
1075,18.893846981742332,0.0
1076,5.218413566546768,0.0
1077,0.0,0.0
1078,0.0,0.0
1079,0.0,0.0
1080,0.0,0.0
1081,0.0,0.0
1082,119337.59050427431,985.9067538349568
1083,0.0,0.0
1084,0.0,0.0
1085,0.0,0.0
1086,0.0,0.0
1087,0.02034845678311711,0.0
1088,0.0,0.0
1089,0.0,0.0
1090,0.0,0.0
1091,401237019.86499023,381740811.8220095
1092,0.0,0.0
1093,0.8469527331855345,0.0
1094,0.0,0.0
1095,0.0,0.0
1096,0.0,0.0
1097,0.0,0.0
1098,837.3138499758444,0.0
1099,24.67449854331035,0.0
1100,0.0,0.0
1101,0.0,0.0
1102,0.0,0.0
1103,77.85500090770239,0.0
1104,25.023694164135037,0.0
1105,0.0,0.0
1106,59.998097438547696,0.0
1107,0.0,0.0
1108,0.0,0.0
1109,0.0,0.0
1110,0.0,0.0
1111,2916723.645183384,1373298.671909849
1112,0.03457534926605923,0.0
1113,1702566755.9251862,1668066097.0753329
1114,0.0,0.0
1115,1.4927807816964118,0.0
1116,0.0,0.0
1117,0.0,0.0
1118,0.002489705243280896,0.0
1119,0.0,0.0
1120,2.148013633422886e-05,0.0
1121,0.0,0.0
1122,0.0,0.0
1123,33.79408465473504,0.0
1124,0.9688435265489216,0.0
1125,200.85839487330912,0.0
1126,857896.496261531,280774.1945129593
1127,0.0,0.0
1128,0.0,0.0
1129,0.9923684045146965,0.0
1130,0.0,0.0
1131,0.0,0.0
1132,0.0,0.0
1133,0.0,0.0
1134,22459925.586811632,14072052.883635495
1135,0.0,0.0
1136,4.44378356187455,0.0
1137,0.0,0.0
1138,1302736.2087202396,121248.19370774427
1139,15222011.679298364,10395956.889690323
1140,354.4949347929658,0.0
1141,8779988.515296366,5446252.443999086
1142,0.0,0.0
1143,0.0,0.0
1144,0.0,0.0
1145,0.0,0.0
1146,28197.708274460034,0.0
1147,0.0,0.0
1148,0.0,0.0
1149,2992363.4696172695,1376749.5653953317
1150,0.0,0.0
1151,0.003924430086001191,0.0
1152,5.068751403026619,0.0
1153,0.0,0.0
1154,3.7812243824853885e-05,0.0
1155,18.445929612136236,0.0
1156,0.0,0.0
1157,8.37110049147232,0.0
1158,162811748.42481884,147920650.52457628
1159,0.0,0.0
1160,0.0,0.0
1161,1138.5733422007017,0.0
1162,0.0,0.0
1163,0.0,0.0
1164,0.0,0.0
1165,7036337.847045984,4111882.3970386344
1166,17095.070156807386,0.0
1167,79482073.3547623,68786921.70730771
1168,118945.75151115157,42167.58353792792
1169,25.15460974368671,0.0
1170,0.0,0.0
1171,0.0,0.0
1172,0.0,0.0
1173,2928.157589614381,0.0
1174,0.0,0.0
1175,0.9021281866724148,0.0
1176,0.0,0.0
1177,0.0,0.0
1178,0.0,0.0
1179,0.0,0.0
1180,0.0,0.0
1181,0.0,0.0
1182,0.7181077377220105,0.0
1183,0.0,0.0
1184,0.09223250774016412,0.0
1185,5603135.775036793,3125179.3369867583
1186,1015085993.4818219,987326042.9378929
1187,0.0,0.0
1188,0.0,0.0
1189,0.0,0.0
1190,0.0,0.0
1191,1.6326672928955444,0.0
1192,0.0,0.0
1193,169052.59488097657,36693.20005970397
1194,0.0,0.0
1195,0.0,0.0
1196,344.10362542497955,0.0
1197,0.0,0.0
1198,0.0,0.0
1199,29929734.81347472,22582092.532874417
1200,0.0,0.0
1201,124323389.06186187,110746513.88326035
1202,21.15420118035557,0.0
1203,0.0,0.0
1204,636030.1784580874,220014.8607386076
1205,33.68350755176307,0.0
1206,0.0,0.0
1207,52.716062542086966,0.0
1208,0.0,0.0
1209,86998.07665165648,13436.806488478507
1210,72.45479996591924,0.0
1211,0.0,0.0
1212,0.0,0.0
1213,0.0,0.0
1214,22877.723450265934,0.0
1215,167.06335552636097,0.0
1216,255554.97314207564,1375.5612495716214
1217,0.0,0.0
1218,34.486215081093874,0.0
1219,0.0,0.0
1220,0.0,0.0
1221,4.019682978626831,0.0
1222,0.16037307294305875,0.0
1223,19015.62078846783,0.0
1224,1.9048188202543788,0.0
1225,0.0,0.0
1226,0.0,0.0
1227,273476752.1942361,255030099.036076
1228,0.0,0.0
1229,194.64749093857867,0.0
1230,3.512172716116276,0.0
1231,0.0,0.0
1232,0.0,0.0
1233,0.8526202246672432,0.0
1234,5214.977498496702,0.0
1235,0.0,0.0
1236,135035771.5597831,122116007.62974043
1237,469.9170489193391,0.0
1238,0.0,0.0
1239,0.0016141335320917455,0.0
1240,0.0,0.0
1241,3.1731164809681816,0.0
1242,0.0,0.0
1243,0.0,0.0
1244,73.3034647127821,0.0
1245,9.974902090261288,0.0
1246,0.0,0.0
1247,0.0,0.0
1248,0.0,0.0
1249,0.0,0.0
1250,0.0,0.0
1251,0.0,0.0
1252,0.0979703189375947,0.0
1253,0.0,0.0
1254,7818.255043766592,0.0
1255,35737.11531343538,2610.4928121556322
1256,13373.290829727663,0.0
1257,1783.9822866579605,0.0
1258,0.0,0.0
1259,201.69763983295624,0.0
1260,15632829.807277894,10516539.570277482
1261,0.0,0.0
1262,56.50766733603683,0.0
1263,0.0,0.0
1264,0.0,0.0
1265,122622.63929449112,0.0
1266,0.23776556980821195,0.0
1267,0.0,0.0
1268,0.0,0.0
